neighborhood,price,layout,bathrooms,square_footage
Chelsea,4110.00,Studio,1 Bathroom,515
Downtown Brooklyn,3585.00,1 Bedroom,1 Bathroom,618
Upper West Side,6345.00,2 Bedroom,2 Bathroom,1347
Harlem,3500.00,2 Bedroom,1 Bathroom,910
South Williamsburg,3395.00,1 Bedroom,1 Bathroom,768
Financial District,5150.00,Loft,1 Bathroom,1488
Chelsea,6175.00,2 Bedroom,2 Bathroom,1086
Midwood,2515.00,2 Bedroom,1 Bathroom,800
Financial District,2939.00,Studio,1 Bathroom,467
Ditmas Park,1850.00,1 Bedroom,1 Bathroom,750
South Williamsburg,4500.00,2 Bedroom,2 Bathroom,1059
Long Island City,2123.00,Studio,1 Bathroom,378
Bedford-Stuyvesant,3250.00,2 Bedroom,1.5 Bathroom,882
Elmhurst,1650.00,Studio,1 Bathroom,625
Clinton Hill,5800.00,2 Bedroom,2 Bathroom,1497
Upper West Side,3950.00,1 Bedroom,1 Bathroom,776
Chelsea,5065.00,1 Bedroom,1 Bathroom,623
Upper East Side,3900.00,1 Bedroom,1 Bathroom,713
Midtown,3495.00,1 Bedroom,1 Bathroom,635
Downtown Brooklyn,2700.00,Studio,1 Bathroom,445
Upper East Side,11150.00,4 Bedroom,3.5 Bathroom,1350
Financial District,6395.00,1 Bedroom,1 Bathroom,1087
Rego Park,1750.00,Studio,1 Bathroom,600
Long Island City,3941.00,2 Bedroom,2 Bathroom,1147
Williamsburg,5000.00,3 Bedroom,2 Bathroom,1300
Flushing,2800.00,3 Bedroom,1 Bathroom,1200
Greenpoint,2000.00,Flex 2,1 Bathroom,700
Park Slope,4300.00,2 Bedroom,2 Bathroom,1000
West Village,4500.00,1 Bedroom,1 Bathroom,850
Lower East Side,2950.00,1 Bedroom,1 Bathroom,664
Murray Hill,2830.00,Studio,1 Bathroom,437
Rego Park,2100.00,1 Bedroom,1 Bathroom,950
Flushing,1675.00,1 Bedroom,1 Bathroom,700
Financial District,5295.00,2 Bedroom,2 Bathroom,1096
Murray Hill,4929.00,Jr 4,1.5 Bathroom,1018
Chelsea,5179.00,2 Bedroom,2 Bathroom,1100
Upper East Side,5595.00,2 Bedroom,2 Bathroom,1078
Bushwick,2900.00,3 Bedroom,1 Bathroom,950
Murray Hill,5872.00,2 Bedroom w/ HO,2 Bathroom,1343
West Village,5550.00,Studio,2 Bathroom,730
East Harlem,2600.00,1 Bedroom,1 Bathroom,700
Williamsburg,5495.00,2 Bedroom,2 Bathroom,1234
Washington Heights,2775.00,4 Bedroom,1.5 Bathroom,1400
Upper East Side,1850.00,Studio,1 Bathroom,400
Upper East Side,2495.00,1 Bedroom,1 Bathroom,450
Brooklyn Heights,8195.00,4 Bedroom,2.5 Bathroom,1700
Bushwick,2795.00,3 Bedroom,2 Bathroom,1000
Midtown West,2400.00,Studio,1 Bathroom,556
Upper East Side,4000.00,1 Bedroom,1 Bathroom,947
Williamsburg,3400.00,2 Bedroom,2 Bathroom,1000
Soho,13750.00,3 Bedroom,2 Bathroom,2000
Upper West Side,2395.00,Studio,1 Bathroom,415
Long Island City,3950.00,2 Bedroom,2 Bathroom,1030
Bushwick,3045.00,3 Bedroom,1 Bathroom,0
Midtown,5950.00,4 Bedroom,2 Bathroom,1400
Bedford-Stuyvesant,3500.00,2 Bedroom,2 Bathroom,939
Midtown West,8500.00,1 Bedroom,1.5 Bathroom,1454
Lower East Side,3900.00,Studio,2 Bathroom,1317
Chelsea,5300.00,1 Bedroom,1 Bathroom,979
Brooklyn Heights,6205.00,3 Bedroom,2.5 Bathroom,1207
Harlem,5400.00,3 Bedroom,2 Bathroom,1492
Harlem,3000.00,2 Bedroom,1.5 Bathroom,868
Rego Park,2521.00,2 Bedroom,1 Bathroom,1100
Prospect Heights,3675.00,2 Bedroom,2 Bathroom,753
Murray Hill,5500.00,2 Bedroom,1 Bathroom,921
Upper East Side,3220.00,1 Bedroom,1 Bathroom,677
Upper East Side,4120.00,1 Bedroom,1 Bathroom,831
Flushing,1500.00,Studio,1 Bathroom,500
Midtown East,2700.00,1 Bedroom,1 Bathroom,800
Midtown West,2195.00,1 Bedroom,1 Bathroom,600
Murray Hill,6915.00,3 Bedroom,2 Bathroom,1243
Midtown East,2950.00,1 Bedroom,1 Bathroom,767
Battery Park City,4150.00,1 Bedroom,1 Bathroom,680
Soho,4375.00,1 Bedroom,1 Bathroom,516
Upper West Side,5300.00,2 Bedroom,2 Bathroom,1200
Harlem,6750.00,4 Bedroom,2.5 Bathroom,2250
Bedford-Stuyvesant,2800.00,2 Bedroom w/ HO,2 Bathroom,1450
Battery Park City,3750.00,1 Bedroom,1 Bathroom,682
Murray Hill,3459.00,1 Bedroom,1 Bathroom,683
DUMBO,6300.00,2 Bedroom,2 Bathroom,1140
Long Island City,2658.00,1 Bedroom,1 Bathroom,668
Bedford-Stuyvesant,4300.00,3 Bedroom,3.5 Bathroom,2500
Greenpoint,2350.00,Studio,1 Bathroom,486
Upper West Side,4100.00,1 Bedroom,1 Bathroom,600
Upper West Side,2900.00,1 Bedroom,1 Bathroom,800
Brooklyn Heights,2850.00,Studio,1 Bathroom,677
Clinton Hill,2475.00,2 Bedroom,1 Bathroom,0
Lower East Side,3677.00,2 Bedroom,1.5 Bathroom,0
Midtown,3700.00,1 Bedroom,1 Bathroom,678
Chelsea,4745.00,1 Bedroom,1 Bathroom,670
Chelsea,3200.00,Studio,1 Bathroom,469
East Williamsburg,2700.00,1 Bedroom,1 Bathroom,600
Harlem,3250.00,2 Bedroom,1 Bathroom,1000
Bedford-Stuyvesant,2195.00,1 Bedroom,1 Bathroom,775
Chelsea,4100.00,1 Bedroom,1 Bathroom,800
Financial District,2850.00,Studio,1 Bathroom,441
NoMad,6000.00,1 Bedroom,1.5 Bathroom,991
NoMad,6995.00,1 Bedroom,1 Bathroom,1058
Midtown,4000.00,1 Bedroom,1 Bathroom,729
East Harlem,2300.00,1 Bedroom,1 Bathroom,664
Gramercy,4000.00,1 Bedroom,1 Bathroom,764
Bedford-Stuyvesant,2700.00,3 Bedroom,1 Bathroom,900
Bushwick,2399.00,2 Bedroom,1 Bathroom,700
Boerum Hill,3831.00,1 Bedroom,1 Bathroom,750
Midtown,4450.00,1 Bedroom,1 Bathroom,817
Tribeca,5300.00,1 Bedroom,1 Bathroom,1000
Rego Park,2800.00,2 Bedroom,1.5 Bathroom,1400
Downtown Brooklyn,3022.00,1 Bedroom,1 Bathroom,614
Park Slope,7500.00,3 Bedroom,2 Bathroom,2279
Chelsea,4610.00,1 Bedroom,1 Bathroom,602
Downtown Brooklyn,3735.00,2 Bedroom,1 Bathroom,741
Cobble Hill,2700.00,1 Bedroom,1 Bathroom,700
East Williamsburg,3915.00,3 Bedroom,2 Bathroom,1200
Ridgewood,3599.00,4 Bedroom,1.5 Bathroom,1500
Washington Heights,3575.00,4 Bedroom,2 Bathroom,11200
Union Square,3700.00,Alcove Studio,1 Bathroom,636
Upper East Side,5800.00,2 Bedroom,2 Bathroom,1065
East Williamsburg,5000.00,3 Bedroom,2 Bathroom,1145
Flushing,2850.00,3 Bedroom,2 Bathroom,1400
Stuyvesant Town,8323.00,5 Bedroom,2 Bathroom,1694
Maspeth,2200.00,Flex 3,1 Bathroom,900
Upper East Side,4400.00,3 Bedroom,2 Bathroom,1
Flushing,2250.00,2 Bedroom,1 Bathroom,1100
Financial District,3257.00,1 Bedroom,1 Bathroom,751
Ridgewood,3400.00,3 Bedroom,1 Bathroom,0
Murray Hill,3355.00,1 Bedroom,1 Bathroom,597
Midtown East,2450.00,1 Bedroom,1 Bathroom,650
Port Morris,1600.00,Studio,1 Bathroom,900
Midtown West,5900.00,2 Bedroom,2 Bathroom,1200
Inwood,2850.00,2 Bedroom,1 Bathroom,853
Midtown,4100.00,1 Bedroom,1 Bathroom,740
East Village,5600.00,2 Bedroom,2 Bathroom,704
Upper East Side,3700.00,2 Bedroom,1 Bathroom,428
Upper East Side,3700.00,2 Bedroom,1 Bathroom,535
Upper East Side,3700.00,2 Bedroom,1 Bathroom,515
Financial District,2900.00,Studio,1 Bathroom,745
Bedford-Stuyvesant,2150.00,1 Bedroom,1 Bathroom,528
Upper East Side,3150.00,1 Bedroom,1 Bathroom,608
Boerum Hill,3250.00,1 Bedroom,1 Bathroom,800
Dyker Heights,2300.00,3 Bedroom,1 Bathroom,1000
Upper West Side,3000.00,1 Bedroom,1 Bathroom,722
Flatbush,2195.00,2 Bedroom,1 Bathroom,665
Tribeca,16500.00,5 Bedroom,4 Bathroom,3000
Chelsea,5750.00,2 Bedroom,2 Bathroom,1147
Downtown Brooklyn,2649.00,Studio,1 Bathroom,472
Midtown,3853.00,1 Bedroom,1 Bathroom,729
Midtown,3000.00,Studio,1 Bathroom,539
Bedford-Stuyvesant,2200.00,1 Bedroom,1 Bathroom,554
Downtown Brooklyn,3955.00,2 Bedroom,2 Bathroom,976
Ditmas Park,4500.00,3 Bedroom,2 Bathroom,1300
Upper East Side,4480.00,2 Bedroom,2 Bathroom,883
East Village,3200.00,2 Bedroom,1 Bathroom,700
Upper East Side,4350.00,1 Bedroom,1 Bathroom,957
Upper West Side,2605.00,Studio,1 Bathroom,412
Chelsea,4950.00,1 Bedroom,1 Bathroom,616
Upper West Side,3775.00,1 Bedroom,1 Bathroom,697
Riverdale,2400.00,Jr 4,1 Bathroom,1069
Williamsburg,2954.00,1 Bedroom,1 Bathroom,675
Washington Heights,1610.00,2 Bedroom,1 Bathroom,600
Upper West Side,3400.00,1 Bedroom,1 Bathroom,750
Midtown,4200.00,1 Bedroom,1.5 Bathroom,1005
Williamsburg,4245.00,1 Bedroom,1 Bathroom,762
Boerum Hill,4995.00,2 Bedroom,2 Bathroom,1276
Upper West Side,5600.00,2 Bedroom,2 Bathroom,1195
Flushing,2063.00,2 Bedroom,1 Bathroom,975
Harlem,7950.00,4 Bedroom,2 Bathroom,3000
Upper East Side,6400.00,2 Bedroom,1 Bathroom,1151
Midtown,5600.00,1 Bedroom,1.5 Bathroom,982
Harlem,2700.00,1 Bedroom,1.5 Bathroom,700
Long Island City,2600.00,Studio,1 Bathroom,550
Murray Hill,2895.00,Studio,1 Bathroom,555
Financial District,3262.00,Studio,1 Bathroom,583
Clinton Hill,3413.00,2 Bedroom,2 Bathroom,1143
Upper East Side,4000.00,1 Bedroom,1 Bathroom,872
East Williamsburg,3300.00,1 Bedroom,1 Bathroom,634
Flatbush,2700.00,3 Bedroom,1 Bathroom,1000
Hudson Yards,2385.00,Studio,1 Bathroom,412
Murray Hill,3000.00,1 Bedroom,1 Bathroom,800
Long Island City,2377.00,1 Bedroom,1 Bathroom,575
Midtown,7500.00,2 Bedroom,2 Bathroom,1124
Upper East Side,2050.00,Studio,1 Bathroom,400
Murray Hill,6350.00,2 Bedroom,2 Bathroom,1441
Financial District,3616.00,1 Bedroom,1 Bathroom,667
Tribeca,8800.00,2 Bedroom,2 Bathroom,2050
Chelsea,3450.00,Studio,1 Bathroom,510
Murray Hill,3298.00,1 Bedroom,1 Bathroom,678
Downtown Brooklyn,4076.00,2 Bedroom,2 Bathroom,1055
Upper West Side,4000.00,1 Bedroom,1 Bathroom,856
Chelsea,5745.00,Flex 3,2 Bathroom,808
Port Morris,1700.00,Studio,1 Bathroom,700
Upper West Side,2600.00,Studio,1 Bathroom,500
Clinton Hill,2445.00,1 Bedroom,1 Bathroom,790
Upper East Side,5995.00,2 Bedroom,2 Bathroom,1098
Battery Park City,9800.00,2 Bedroom,2.5 Bathroom,1513
Bedford-Stuyvesant,2250.00,2 Bedroom,1 Bathroom,0
Williamsburg,4250.00,1 Bedroom w/ HO,1.5 Bathroom,918
Boerum Hill,3750.00,2 Bedroom,2 Bathroom,975
Downtown Brooklyn,2415.00,Studio,1 Bathroom,489
Kensington,3300.00,2 Bedroom,2 Bathroom,1067
Greenpoint,2650.00,1 Bedroom,1 Bathroom,623
Upper East Side,2800.00,Studio,1 Bathroom,460
Boerum Hill,3300.00,1 Bedroom,1 Bathroom,682
Midtown,6850.00,1 Bedroom,1 Bathroom,889
Financial District,3422.00,Flex 2,1 Bathroom,578
Midtown East,3425.00,1 Bedroom,1 Bathroom,700
Williamsburg,3160.00,Flex 2,1 Bathroom,730
East Village,4200.00,3 Bedroom,1.5 Bathroom,800
Midtown West,3171.00,Studio,1 Bathroom,492
Midtown West,2562.00,Studio,1 Bathroom,450
Midtown,4250.00,1 Bedroom,1 Bathroom,900
East Williamsburg,2495.00,1 Bedroom,1 Bathroom,700
East Village,3600.00,Studio,1 Bathroom,600
Financial District,3342.00,Flex 2,1 Bathroom,582
Chelsea,3469.00,Studio,1 Bathroom,410
Financial District,3400.00,1 Bedroom,1 Bathroom,715
Upper East Side,2500.00,Studio,1 Bathroom,520
Flushing,2250.00,2 Bedroom,1 Bathroom,1100
Crown Heights,2850.00,3 Bedroom,2 Bathroom,1300
Upper West Side,3400.00,2 Bedroom,2 Bathroom,1000
Murray Hill,5270.00,2 Bedroom,2 Bathroom,1041
Downtown Brooklyn,2780.00,Studio,1 Bathroom,443
Lower East Side,2875.00,Alcove Studio,1 Bathroom,500
Downtown Brooklyn,5000.00,2 Bedroom,2 Bathroom,1337
Williamsburg,4334.00,1 Bedroom,1 Bathroom,765
Flatbush,2731.00,1 Bedroom,1 Bathroom,707
Upper East Side,5469.00,2 Bedroom,2 Bathroom,994
Gramercy,6277.00,2 Bedroom,2 Bathroom,1388
Kensington,3750.00,2 Bedroom,1 Bathroom,1034
East Village,4450.00,1 Bedroom,1 Bathroom,537
Upper West Side,4400.00,4 Bedroom,2 Bathroom,1600
Long Island City,2995.00,1 Bedroom,1 Bathroom,728
Lower East Side,3600.00,2 Bedroom,1 Bathroom,850
Williamsburg,4900.00,2 Bedroom,2 Bathroom,1133
Murray Hill,5665.00,2 Bedroom,2 Bathroom,1018
Downtown Brooklyn,3875.00,1 Bedroom,1 Bathroom,638
